tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759017371.0005333,2025-09-27 23:56:11.000533-10,2025-09-27,13:56:11,20.9359564365,-156.396478938,18.510839999999998,267.68,122,,255.417,20.915464521257693,-156.39252247405088,20.685575999999994,22.729556962025303,01998e98-a600-79ee-82e5-b6e98bafa701,7092.664564072142,2315.353415566471
1759017372.000537,2025-09-27 23:56:12.000537-10,2025-09-27,13:56:12,20.9359592802,-156.3965285076,19.908360000000002,273.31,122,,255.771,20.915464521257693,-156.39252247405088,20.576375999999996,22.711813584905645,01998e98-a600-79ee-82e5-b6e98bafa701,7097.822261485899,2316.583732541517
1759017373.0005388,2025-09-27 23:56:13.000539-10,2025-09-27,13:56:13,20.9359592533,-156.3965808,19.908360000000002,265.11,122,,255.771,20.915464521257693,-156.39252247405088,20.467176000000002,22.70199849056602,01998e98-a600-79ee-82e5-b6e98bafa701,7103.253031045208,2317.562411142702
1759017374.0005424,2025-09-27 23:56:14.000542-10,2025-09-27,13:56:14,20.935945921,-156.396628992,18.51624,253.45,122,,255.771,20.915464521257693,-156.39252247405088,20.149967999999998,22.6734633962264,01998e98-a600-79ee-82e5-b6e98bafa701,7108.472901582417,2317.0207937252144
1759017375.0005453,2025-09-27 23:56:15.000545-10,2025-09-27,13:56:15,20.9359289556,-156.3966766356,18.51624,248.06,122,,255.771,20.915464521257693,-156.39252247405088,19.957559999999997,22.641307924528284,01998e98-a600-79ee-82e5-b6e98bafa701,7113.768295578526,2316.0832932971553
1759017376.0005465,2025-09-27 23:56:16.000546-10,2025-09-27,13:56:16,20.9359055818,-156.3967271884,20.427840000000003,248.21,126,,255.771,20.915464521257693,-156.39252247405088,19.892591999999997,22.61796452830187,01998e98-a600-79ee-82e5-b6e98bafa701,7119.626508903517,2314.514716643487
1759017377.0005503,2025-09-27 23:56:17.00055-10,2025-09-27,13:56:17,20.9358845872,-156.3967790303,22.86936,251.75,126,,256.845,20.915464521257693,-156.39252247405088,20.052816,22.611950943396206,01998e98-a600-79ee-82e5-b6e98bafa701,7125.494826436859,2313.245179934814
1759017378.0005531,2025-09-27 23:56:18.000553-10,2025-09-27,13:56:18,20.9358661731,-156.396841932,22.86936,254.17,126,,256.845,20.915464521257693,-156.39252247405088,20.21304,22.60593735849055,01998e98-a600-79ee-82e5-b6e98bafa701,7132.340789004902,2312.4939254749374
1759017379.0005565,2025-09-27 23:56:19.000556-10,2025-09-27,13:56:19,20.9358477554,-156.3969012188,22.86936,246.68,126,,256.845,20.915464521257693,-156.39252247405088,20.250096000000006,22.602695094339605,01998e98-a600-79ee-82e5-b6e98bafa701,7138.829613492342,2311.688419255415
1759017380.0005577,2025-09-27 23:56:20.000558-10,2025-09-27,13:56:20,20.9358304269,-156.3969560743,22.897440000000003,247.49,126,,256.845,20.915464521257693,-156.39252247405088,20.289024000000005,22.59962943396225,01998e98-a600-79ee-82e5-b6e98bafa701,7144.843604193393,2310.9277826732223
